"","Gene_name","EntrezID"
"667","Cd3e","12501"
"668","Cdk20","105278"
"669","Cdon","57810"
"670","Cfap410","67884"
"671","Chrd","12667"
"672","Chsy1","269941"
"673","Cibar1","68099"
"674","Cluap1","76779"
"675","Ctnna1","12385"
"676","Dcdc2a","195208"
"677","Dhh","13363"
"678","Disp1","68897"
"679","Dlg5","71228"
"680","Dync2h1","110350"
"681","Dyrk2","69181"
"682","Dzip1","66573"
"683","Dzip1l","72507"
"684","Enpp1","18605"
"685","Evc","59056"
"686","Evc2","68525"
"687","Ext1","14042"
"688","Fbxl17","50758"
"689","Fgf9","14180"
"690","Fgf10","14165"
"691","Fgfr2","14183"
"692","Fgfr3","14184"
"693","Fkbp8","14232"
"694","Foxa1","15375"
"695","Foxf1","15227"
"696","Fuz","70300"
"697","Gas1","14451"
"698","Gas8","104346"
"699","Gorab","98376"
"700","Gpc2","71951"
"701","Gpc3","14734"
"702","Gpr37l1","171469"
"703","Gpr161","240888"
"704","Herc4","67345"
"705","Hhat","226861"
"706","Hhip","15245"
"707","Ift20","55978"
"708","Ift27","67042"
"709","Ift46","76568"
"710","Ift52","245866"
"711","Ift57","73916"
"712","Ift80","68259"
"713","Ift81","12589"
"714","Ift88","21821"
"715","Ift122","81896"
"716","Ift140","106633"
"717","Ift172","67661"
"718","Ihh","16147"
"719","Intu","380614"
"720","Iqub","214704"
"721","Kctd6","71393"
"722","Kctd11","216858"
"723","Kctd21","622320"
"724","Kif3a","16568"
"725","Kif7","16576"
"726","Megf8","269878"
"727","Mgrn1","17237"
"728","Mks1","380718"
"729","Mosmo","233812"
"730","Ndst1","15531"
"731","Nkx2-2","18088"
"732","Nme7","171567"
"733","Nog","18121"
"734","Nsdhl","18194"
"735","Pdcl","67466"
"736","Pdx1","18609"
"737","Pkd2l1","329064"
"738","Por","18984"
"739","Prkaca","18747"
"740","Prkacb","18749"
"741","Ptch1","19206"
"742","Ptch2","19207"
"743","Ptchd1","211612"
"744","Ptpdc1","218232"
"745","Rab23","19335"
"746","Rab34","19376"
"747","Rack1","14694"
"748","Rb1","19645"
"749","Ro60","20822"
"750","Ror2","26564"
"751","Rora","19883"
"752","Rpgrip1l","244585"
"753","Runx2","12393"
"754","Scube1","64706"
"755","Scube2","56788"
"756","Scube3","268935"
"757","Septin2","18000"
"758","Serpine2","20720"
"759","Sfrp1","20377"
"760","Shh","20423"
"761","Shox2","20429"
"762","Skor2","664805"
"763","Smo","319757"
"764","Ssna1","68475"
"765","Stil","20460"
"766","Stk36","269209"
"767","Sufu","24069"
"768","Tbc1d32","544696"
"769","Tctn1","654470"
"770","Tctn2","67978"
"771","Tctn3","67590"
"772","Tedc1","104732"
"773","Tedc2","72016"
"774","Tgfbr2","21813"
"775","Tmem17","103765"
"776","Tmem231","234740"
"777","Traf3ip1","74019"
"778","Ttbk2","140810"
"779","Ttc21b","73668"
"780","Ttc23","67009"
"781","Ttc26","264134"
"782","Tubd1","56427"
"783","Tulp3","22158"
"784","Txndc15","69672"
"785","Uchl5","56207"
"786","Ulk3","71742"
"787","Vcp","269523"
"788","Wdpcp","216560"
"789","Wdr11","207425"
"790","Wdr19","213081"
"791","Wnt7b","22422"
"792","Wnt9a","216795"
"793","Wnt10b","22410"
"794","Zfp423","94187"
"795","Apln","30878"
"796","Dstyk","213452"
"797","Fam20c","80752"
"798","Fgfbp1","14181"
"799","Fgfbp3","72514"
"800","Fgfrl1","116701"
"801","Gpc1","14733"
"802","Lrit3","242235"
"803","Ngfr","18053"
"804","Nptn","20320"
"805","Nrxn1","18189"
"806","Ofd1","237222"
"807","Pdgfb","18591"
"808","Prkd2","101540"
"809","Shisa2","219134"
"810","Smoc2","64074"
"811","Spry1","24063"
"812","Spry2","24064"
"813","Spry4","24066"
"814","Sulf1","240725"
"815","Sulf2","72043"
"816","Thbs1","21825"
"817","Wnt4","22417"
"818","Wnt5a","22418"
"819","Adcy3","104111"
"820","Adcy6","11512"
"821","Ankrd26","232339"
"822","Arf4","11843"
"823","Arl2","56327"
"824","B9d2","232987"
"825","Bbs1","52028"
"826","Bbs10","71769"
"827","Bbs12","241950"
"828","Bbs5","72569"
"829","Ccdc112","240261"
"830","Cfap100","243538"
"831","Ccdc63","330188"
"832","Ccdc65","105833"
"833","Ccdc66","320234"
"834","Cep152","99100"
"835","Cep250","16328"
"836","Cep41","83922"
"837","Cep89","72140"
"838","Cetn1","26369"
"839","Cetn3","12626"
"840","Cfap52","71860"
"841","Cnga1","12788"
"842","Cnga4","233649"
"843","Cngb1","333329"
"844","Cntrob","216846"
"845","Ccp110","101565"
"846","Crocc","230872"
"847","Crx","12951"
"848","Cttn","13043"
"849","Ddx59","67997"
"850","Disc1","244667"
"851","Dnaaf2","109065"
"852","Dnaaf3","436022"
"853","Dnah10","56087"
"854","Dnah6","330355"
"855","Dnajb13","69387"
"856","Dnal1","105000"
